
surah|ayah|Verse
2|40|O sons of secrets, remember my blessing that I have been blessed with you and fulfilled my covenant, I will fulfill your covenant
2|41|And I wish what I have been sincerely for what is with you, nor do you not be the first to disbelieve in it.
2|42|And do not wear the truth with falsehood, and the truth is concluded, and you know
2|43|And evaluate the prayers, pay zakat and kneel with the knees
2|44|Do you command people with righteousness and forget your souls, and you recite the book ۚ Do you not understand
2|45|And seek patience and prayers ۚ and it is great except for the two of the two.
2|46|Those who think that they are their Lord, and that they are returned to him.
2|47|O my children, I remember my blessing that I have been blessed with you and that I preferred you over the worlds
2|48|Fear a day, do not reward a soul for something, and no intercession is accepted, nor is it not taken from it, nor are they victorious.
2|49|And when we save you from the family of Pharaoh, they will pray for you, the bad torment, they will sacrifice your children, and they will be ashamed of your women.
2|50|And when we separated you from the sea, then we saved you, and we will be burned.
2|51|And when we prepared Moses, forty nights, then you took the calf after him and you are unjust
2|52|Then we forgive you from you after that, so that you may thank you
2|53|And when Moses came to the book and the parties, you may be guided
2|54|And when Moses said to his people, O people Known on you ۚ He is the Most Merciful
2|55|And when you said, Moses, we will not believe for you until we see God as a flower, so I will take you to the thunderbolt, and you are looking
2|56|Then we will send you after your death, so that you may thank you
2|57|We have been overwhelmed with you, and we have sent down to you who is from the goodness of the good.
2|58|وَإِذْ قُلْنَا ادْخُلُوا هَٰذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَدًا وَادْخُلُوا الْبَابَ سُجَّدًا وَقُولُوا حِطَّةٌ نَغْفِرْ لَكُمْ خَطَايَاكُمْ ۚ وَسَنَزِيدُ الْمُحْسِنِينَ
2|59|He changed those who wronged a saying other than those who were said to them, and we sent down to those who did wrong to the sky of what they were soaked
2|60|And when Moses watered for his people, then we said that you will be shredded with the quarries. Glossary of God, and do not send in the earth.
2|61|And when you said, Moses, we will not be patient with one food, so let your Lord be brought out to us from what the land is alerted Do not redeem the one who is the lowest of it, which is the best of it. ThatBecause they were atone for the verses of God and killing the prophets without the truth ۗ that is what they disobeyed and they were accustomed to
2|62|Those who believed in and those who have guided, and those who believe in God and the last day They are sad
2|63|And when we took your covenants and raised us, then you have the phase
2|64|Then you took care of that after that.
2|65|And you have learned those who have been accustomed to you in the Sabbath, so we told them to be a miserable monkey.
2|66|So we made it a negligence of what is between her hands and what she left behind and preaching to the righteous
2|67|And when Moses said to his people, God commands you to slaughter a cow.
2|68|"They said, ""Call us to us, your Lord, show us what they are ۚ He said that he says that it is a cow that is not a disease, nor is there no unknown between you, so that they do not."""
2|69|"They said, ""Call us to us, your Lord, to show what we have, ۚ He said that he says that it is a cow of zero"
2|70|"They said, ""Call us for us, to show us to us, what is the cow, the cow is similar to us, and if God wills, they will not be guided"
2|71|He said that he says that it is a cow, there is no humiliation that raises the land, and does not water the plowing, a Muslim, in which there is no thing in which they said:
2|72|And when you killed a soul, then you will have come to it ۖ and God is a way out what you were
2|73|So we said they were raised with it.
2|74|Then you have been distorted by your heart From it the water ۚ and from it what is lined with the fear of God ۗ and God is unjust.
2|75|Do you want to believe in you, and a group of them would hear the words of God and then deprive him of what they have notified and they know
2|76|وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَا بَعْضُهُمْ إِلَىٰ بَعْضٍ قَالُوا أَتُحَدِّثُونَهُمْ بِمَا فَتَحَ اللَّهُ عَلَيْكُمْ لِيُحَاجُّوكُمْ بِهِ عِنْدَ رَبِّكُمْ ۚ أَفَلَا تَعْقِلُونَ
2|77|Do they not know that God knows what they are pleased with and what they declare
2|78|And among them are illiterate, they do not know the book except for me, and if they only think
2|79|Fawal for those who write the book with their hands, then they say this is from God to buy it Do not gain
2|80|And they said that the fire will not touch us except for numbers.
2|81|For those who have earned a bad and surrounded by his sin, then those who are the owners of the fire.
2|82|And those who believed and do righteous deeds, those who are the owners of Paradise.
2|83|And when we took the coffee of the children The prayer, and the zakat, then you have been assumed except for a few of you, and you are exposed
2|84|And when we took your covenant, you will not regret your blood, and do not come out of your soul
2|85|Then you are the ones who kill yourself and leave a group of you from their homes They are forbidden for you to take them out. The resurrection is returned to the most severe torment ۗ and GodWith the heavie of what you do
2|86|These are those who bought this worldly life in the hereafter.
2|87|And Moses came to us, and we were standing after him with the messengers. I love you
2|88|And they said our hearts are wrap
2|89|And when a book came from them, it is a charity for what was with them and they were before they were open to those who disbelieved. Rin
2|90|In the name of them, they bought them with themselves to atone for what God has descended in terms Rin is a humiliating torment
2|91|And when it is said to them, they believe in what God has revealed, they said, “We believe in what was revealed to us and they are atone It is before you are believers
2|92|Moses came to you with the evidence, then you took the hurry after him and you are unjust
2|93|And when we took your covenant and raised us, then the phase is taken. What do you command your faith in it?
2|94|Say: If the hereafter is for you, God is clear from the people, then you will wish for death if you are true
2|95|And they will never wish for what their hands have offered.
2|96|And you find them kept in life Beginning with what they do
2|97|Say: Whoever was an enemy of Gabriel, then he sent him down to your heart with the permission of God, sincerely for what is between his hands
2|98|Whoever is an enemy of God, his angels, His messengers, Gabriel, and Mecal, for God is an enemy for the disbelievers
2|99|And we have revealed to you signs of evidence.
2|100|And when they pledged a covenant, a group of them rejected them ۚ Rather, they do not believe in
2|101|And when a messenger came from them with God, a charity for them, with them, a group of those who gave the Book of the Book of God, and the Book of God, is not so
2|102|And follow what the devils recite on the king of Solomon. You are and Marot ۚ and what they teach from anyone until we say that we are a temptation, so do not disbelieve. They are harmful to himFrom anyone except with the permission of God ۚ and they learn what is harmful ۚ If they knew
2|103|And if they believed and feared for a representative from God, it was better. If they knew
2|104|O you who believe, do not say our shepherd and say, look and listen to us and to disbelieves
2|105|مَا يَوَدُّ الَّذِينَ كَفَرُوا مِنْ أَهْلِ الْكِتَابِ وَلَا الْمُشْرِكِينَ أَنْ يُنَزَّلَ عَلَيْكُمْ مِنْ خَيْرٍ مِنْ رَبِّكُمْ ۗ وَاللَّهُ يَخْتَصُّ بِرَحْمَتِهِ مَنْ يَشَاءُ ۚ وَاللَّهُ ذُو الْفَضْلِ الْعَظِيمِ
2|106|We do not copy from a verse or forget it, we come from it or like it?
2|107|Did you not know that God has the King of Heavens and the Earth
2|108|Or do you want to ask your Messenger as Moses was asked before ۗ and whoever reports the disbelief in faith, then he has gone astray.
2|109|And a lot of the people of the book, if they will return you after your faith, disbelievers, a good disbelief from themselves God comes to his command.
2|110|And evaluate the prayers and pay zakat ۚ and what you offer to your souls from the best you find with God ۗ God is what you do.
2|111|And they said that Paradise will not enter except for those who were obedient or sought -after ۗ These are their Amana ۗ Say: Bring your wilderness if you are honest.
2|112|For those who have become a face of God, and he is good, he has his reward for his Lord, and there is no fear for them, and they are not grieving
2|113|The Jews said that the escort is not for something To them ۚ God rules between them on the Day of Resurrection, while they were in it
2|114|And whoever is the one who is in the authority of the mosques of God to mention in it his name and seek in it. In the hereafter a great torment
2|115|And to God, the East and the West.
2|116|And they said that God took a son ۗ Glory be to Him.
2|117|Bading the heavens and the earth.
2|118|And he said who do not know that God does not speak to us or come to us. We are the verses of people who are certain
2|119|We send you the truth as good and vow.
2|120|And you will not be satisfied with the Jews, nor the estuaries, until you follow their fullness ۗ Say: God is the guidance of God, it is the guidance God is a guardian and no victory
2|121|Those who have come to the book, they recite the right of his recitation, those who believe in it ۗ and whoever disbelieves in it, then those are the first
2|122|O my children, I remember my blessing that I have been blessed with you and that I preferred you over the worlds
2|123|Fear a day, do not reward a soul for something, nor is it accepted from it, nor does it benefit from it, and they are not victorious
2|124|And when Abraham kicked his Lord with words, then he gave them to them.
2|125|And when we made the house a garment for people and safely, and they took from Abraham's place Stand up and kneel the prostration
2|126|And when Abraham said, Lord, make this a safe country and give his people from the fruits of those who believe in them He turned it into the torment of fire 😂 and the misery of the destiny
2|127|And when Abraham raises Al -Qawasad from the house and the hearing of our Lord, you accept from us ۖ You are the most knowledgeable.
2|128|Our Lord, and make us Muslims for you, and from our offspring a Muslim nation for you, and show us our people, and you will be upon us.
2|129|Our Lord and send them a messenger from them, and they will be informed of them, and they teach them the book and the rule, and they will be blessed.
2|130|And whoever desires the religion of Abraham except for those who shed his soul ۚ and we have chosen it in this world.
2|131|When his Lord said to him, Muslim.
2|132|And Abraham, his sons and Jacob, O sons, that God has chosen for you the religion, so you will not die except when you are a Muslim
2|133|Or were you a martyr when he attended the death of death, when he said to his sons, what you worship after me. Hasaq, God is one, and we have Muslims.
2|134|That is a nation that has passed it.
2|135|And they said: Be a sophistication or the guys of guidance
2|136|They said that we believe in God, and what was revealed to us, and what was revealed to Abraham, Ismael, and Isaac, and Jacob, From their Lord, we do not separate between one of them, and we have Muslims.
2|137|If they believe in the same way as what you believe in, then they will be guided.
2|138|The dye of God ۖ and whoever is better than God is a dye.
2|139|Say: We will argue with us in God, and he is our Lord and your Lord, and we are our deeds, and you have your deeds, and we are glorified to Him.
2|140|Or do you say that Abraham, Ismael, and Isaac, and Jacob, and the Sabbath were humiliated or we were suddenly A testament to him from God ۗ and God is unaware of what you do
2|141|That is a nation that has passed it.
2|142|The fools will say from the people what they have before their kisses, which they were on them ۚ Say to God the Mashreq and the Maghrib ۚ
2|143|Likewise, we have made you a simple nation to be a martyr on people, and the Messenger will be a martyr on you The Messenger is from whom he turns on his two hurricanes ۚ And if it is great except for those who guided God ۗ and what God has been A
2|144|We have seen your face in the sky. And those who have given the book to know that the truth is from their Lord ۗ and God is unaware of what they do
2|145|And if you have come to those who have come to the book, all of you Their passion after what came from knowledge
2|146|Those who have come to the book, they know it as they know their children ۖ And a group of them will be the truth and they know
2|147|The truth is from your Lord. You will not be among the people
2|148|And for every face, it is its fundamentalists 😂 So they will remain the goodness ۚ Where are you going
2|149|And from where you were brought out, and your face is the dominance of the forbidden mosque.
2|150|And from where you came out, you are the one who is the sacrifice of the mosque. They do not fear them and fear me, and you will not be blessed with you, and you may be guided
2|151|Just as we sent you a messenger of you who recite our signs and bless you, and teach you the book and the rule, and they will not teach you
2|152|So remember me, I remember you and thank me and not atone
2|153|O you who believe, seek patience and prayers ۚ God is with the patient
2|154|And do not say to those who kill in the path of God, the dead ۚ Rather, there are no life
2|155|And let us give you something of fear and hunger, and a shortage of money, breath, and fruits ۗ and the good news of the patient
2|156|Those who are afflicted with their affliction, they said: We are God, and I will return to Him.
2|157|Those are the prayers of their Lord and mercy ۖ and those are the ones who are guided
2|158|The row and the bitterness are among the rituals of God.
2|159|For those who conceal what we have revealed from the signs and the guidance, after what it has been shown to people in the book ۙ Those who cursed them
2|160|Except those who repent, pray, and clear, and those are melt on them ۚ and I am the Most Merciful
2|161|For those who disbelieved and died, and they are disbelievers, those who are upon them, the curse of God, the angels, and the people all
2|162|Creators in it ۖ The torture is not relieved of them, and they are not seen.
2|163|And God, God is only
2|164|For the creation of the heavens and the earth and the success of the night and the day, and the ark that runs in the sea with what the people will benefit from After her death and broadcast in it from every bear and the script of the winds and the clouds of the heavens and the land of the people of the people
2|165|And among the people who take from God without God, they love them as the love of God ۖ and those who believe in the most severe love for God God is all
2|166|When those who followed those who followed, followed and saw the torment and cut off the causes
2|167|And those who followed said that if we are a hatred, then we will disappear from them, as they innocent from us, as well
2|168|O people, eat from the earth, good solution
2|169|Rather, he commands you to be bad and welfare, and that you say to God what you do not know
2|170|And when it is said to them, follow what God has revealed, they said, but we follow what we have for our fathers, our fathers ۗ If they were, they were not, and they are not.
2|171|And the example of those who disbelieved like the same as the one who fond of what is not heard except supplication and a call ۚ Dearness is a blind man, so they do not understand
2|172|O you who believe, both of the good things
2|173|Rather, the dead and the blood, and the flesh of the gin, and what I have for it is for the other hand.
2|174|For those who assume what God has descended from the book and buy it with a little thues They recommend them, and they have a painful torment
2|175|Those who bought the delusion with the guidance and torture with forgiveness ۚ So what I have patted them on the fire
2|176|That is that God has descended the book with the truth
2|177|The righteousness is not to take care of your faces before the East and the Maghreb, but the righteousness is the one who believes in God The distraction of the kinship, the mortar, the two sins, the son of the way, and the questioners, and in the nicknames, and the prayer of the prayer Rin in the misfortunes, the harmful, and where the lords are the first of those who believed- And those are the righteous
2|178|O you who believe, the storyteller has written in you. He sold the well -known and performed to him with good
2|179|And you have a life in the story
2|180|It was written on you when one of you is dead if you leave the good of the commandment for the parents and those close to the well -known.
2|181|Whoever replaces him after he heard it, but he will be in the authority of those who change it ۚ God is a knowledge
2|182|Whoever is afraid of a person who is in kind or a sin, then reconciles between them, then there is no sin on him ۚ God is Forgiving, Most Merciful
2|183|O you who believe, the fast is written on you, as it was written on those before you
2|184|For many days ۚ Whoever is from you is sick or on a travel of several days Good for him ۚ and if you fast, it is better for you. If you know
2|185|The month of Ramadan, in which the Qur’an was revealed to the people and the evidence of the guidance A number of other days ۗ God wants you to ease, and do not want the hardship for you, and to complete the end
2|186|And if my servants ask me about me, I am a closeness 😂 I answer the call of the bid when he called
2|187|I have the night of the fast for you to the women of the fast for you You don, then they will reiterate them and seek what God has written for you. OrTo the night ۚ and do not see them, and you are afraid in the mosques ۗ That is the limits of God, so do not bring them closer to them
2|188|And do not eat your money between you with falsehood, and refer to it to the rule
2|189|They ask you about the people. Her father ۚ and fear God, so that you may be successful
2|190|And fight in the path of God who fight you and do not be accustomed to ۚ God does not love those who are aggressors
2|191|And kill them, where you have stopped them and brought them out from where they are brought out. If you fight you, kill them ۗ as well as the disbelievers of the disbelievers
2|192|If they are over, God is Forgiving, Most Merciful
2|193|And take them until they do not be a temptation, and the religion is for God.
2|194|The month of forbidden with the month of the forbidden and the forbidden is a story.
2|195|And spend in the path of God, and do not throw your hands to destruction.
2|196|And do the pilgrimage and Umrah for God. And with it, it is a good thing from a fast, a charity, or a forgetfulness ۚ So if you believe, then whoever enjoys the age of the life of the lifeThere is no fasting in the pilgrimage in the pilgrimage, if you return ۗ that is tenthly completely God knows that God is the hardening of the punishment
2|197|The pilgrimage is the most famous of the well -known The pioneering increased ۚ and fear the first of the doors
2|198|You have no garden to seek a virtue of your Lord. To him for the lost
2|199|Then, they were brought up from the people of the people and forgive God, for God is Forgiving, Most Merciful
2|200|So if you spend your people, then remember God, as your fathers are your fathers, or the most remembrance of the people.
2|201|And among them is those who say our Lord, we are in this world in good, and in the hereafter a good and our torment of fire
2|202|Those have a share of what they have.
2|203|And mention God in the days You are grateful
2|204|And among the people who admire you, his saying in this world
2|205|And if he takes care of the earth to spoil in it and give you the plow and the descendants ۗ and God does not love corruption
2|206|And when it is said to him, God will fear him, the best offended by ours.
2|207|And among the people of those who share itself to seek the satisfaction of God
2|208|O you who believe, enter in peace as enough, and do not follow the Satan's lines ۚ It is a clear enemy
2|209|If you are removed after what the evidence came to you, then know that God is dear wise
2|210|Do they look only for God to come to them in shadow of dignity and angels and the matter
2|211|Sultan of the sons of Israel, how many of them came from a clear verse.
2|212|It is decorated for those who disbelieved in this worldly life and harnessed those who believed ۘ and those who fear them, on the day
2|213|People were one nation, so God sent the prophets and sighs Except for those who have come to them after what the evidence came to them in order To meA straight path
2|214|Or did you get the way to enter Paradise, and when you come to you, those who were left before you? They are with him when the victory of God
2|215|They ask you what they spend. I know
2|216|The fighting has been written on you, and it is a hatred for you. Lumin
2|217|They ask you about the sacred month in which it is a fight in it. God ۚ And the woman is greater than the killing AThose are their deeds in this world and the hereafter.
2|218|Those who believed and those who migrated and strived in the path of God, those who hope that God has mercy
2|219|They ask you about wine and the facilitator 😂 Say in them a great and a benefit for people ۗ Luck, God shows you the verses, so that you may think
2|220|In this world and the hereafter ۗ and they ask you about the orphans ٰ Say: They are good for them. If God will help you, God is dear, wise
2|221|And do not marry the polytheists until it is believed that a believer is better than a partner, and if I like it المرية A shame, and if I like you ۗ These are calling for the fire. َ
2|222|And they ask you about the menstruation. How much God ۚ God loves the repentance and loves those who are purified
2|223|Your women are a plow for you, so you will plow you that you are ه and offer to yourselves ۚ and fear God and know that you will be blessed
2|224|And do not make God an offer to your homes to be justified and feared and reconcile among the people ۗ and God is knowledgeable
2|225|God does not take you to the language in your faith
2|226|For those who are familiar with their women, he will be a four -month -old
2|227|And if they are determined to divide, then God is knowledgeable
2|228|And the divorcees are lengthy with themselves. And they are the most worthy of their return in that if they want to pray.
2|229|The divorce is two times, so it is a well -known or a tranquility with goodness. 😂 If you fear that the limits of God will not be evaluated, then they will not be paved with them when you are redeemed with it ۗ That is the limits of God, so you will not be accustomed to them.The unjust
2|230|If it is divorced, then it is not permissible for him to marry it, so that it is not the same as it. God shows her for people who know
2|231|And when you divorced women, then they will be their sake We did not find it ۚ and do not take the verses of God, and you will be removed from God, and God bless you God has everything knowledgeable
2|232|And when you divorced women, then they will be their sake Hey and the last day ۗ That is your best for you and purify ۗ And God knows and you do not know
2|233|And the parents are breastfed by their children for two years. The same as a soul except for its expansion ۚ Do not be harmed and a mother in her child, nor is he born to him in his son. Right, there is no lameness to them ۗAnd if you want to be breastfed by your children, then do not be happy with you if you are delivered what you have come to the well -known
2|234|And those who die from you and warn of the wives, they will be tired of their souls We himself with the well
2|235|And there is no way for you to be given to you They said a well -known saying ۚ And do not intend to do the contract of marriage until the book is attained ForgivingHalim
2|236|There is no lavishness for you if you divorced women, what you did not touch, or you will be satisfied with them. And in the right to the best
2|237|And if you divorced them before they touched them, and you will be satisfied with them. And the closest to the piety ۚ and do not forget the preference among you ۚ God is what you do with vision
2|238|Consider the prayers and the median prayers, and protect God.
2|239|If you are afraid of a fence or a knee, then if you believe, remember God as you taught you what you did not know
2|240|And those who die from you and warn of the wilds of the will of them They himself from a well -known
2|241|For divorcees, he has a good luck.
2|242|Like God, God shows you his signs. Perhaps you are reasonable
2|243|Did you not see those who have come out of their homes, and they are the people who warned the death, so God said to them, and they will die, then I will live them. Thank you
2|244|And fight in the path of God and know that God is a knowledgeable hearing
2|245|Who is the one who lends to a good loan, then he will be blessed with many weakness
2|246|Did you not see the origin of the sons of Israel after Moses, when they said to my Prophet, they have a source It is not a matter that they would not fight.They took only a little of them ۗ God is aware of those who are unjust
2|247|And their Prophet said to them that God has sent you a king God has chosen it for you and increased it in a simplicity in knowledge and the body.
2|248|And their Prophet said to them that the verse of his king is that the coffin comes to you in it What are you?
2|249|When he was pronounced by the soldiers, he said that God is full of a river, so whoever drinks from him, then he is not from me, and whoever does not taste it It is only a few of them ۚ So when he passed it on, he and those who believed with him said they said there is no energy for us today by the wordsGod, how many categories that have dominated a large group with the permission of God
2|250|"And when they emerged to Galut and his soldiers, they said, ""We have emptied us with patience, and we have proven our feet, and we will support the people of the disbelieving"
2|251|So they defeated them with the permission of God, and he killed the Dawood of Golia But God is a favor over the two worlds
2|252|Those are the verses of God
2|253|Those the messengers, then we preferred some of them to be one of them who spoke to God. If God wills, what was followed by those who have come after them after what the evidence came to them, but they have disappeared, so whoever is from them and whoever is from them and whoever is for those who are safeWhat they have been killed, but God does what he wants
2|254|O you who believe, spend from what we have given you before, to come a day in which there is no sale in it, nor a disorder, nor the disbelief of the disbelief
2|255|God is no, but He is the living living, and there is no year What is between their hands and what they left themselves.م And their memorization does not want it ۚ and it is the great, the Most High
2|256|There is no confusion in the debt. I know
2|257|God is the guardian of those who believed in the darkness to the light. It is immortal
2|258|Have you not seen to the one who needed Abraham in his Lord, that God has given him the king, when Abraham said my Lord who lives and dies, and he said: God comes with the sun from the East, so he brought it from the West, and it is the one who disbelieved ۗ and God does not guide the people who are unjust
2|259|Or, as he passed through a village, and it is a khiyyah on her veins, he said that he will revive this, God is after his death. You said, I would have broadcast a day or some day.And let us make you a sign for people.
2|260|And when Abraham said, the Lord of me, how can you live the dead? To you, then make every mountain of them a part, then let them come to you in pursuit.
2|261|The same as those who spend their money in the way of God as a lover, the seven of Sanabel in every seventh Knowing
2|262|Those who spend their money in the path of God, then they will not follow what they spend from from me, and I do not harm them.
2|263|A well -known saying and forgiveness is better than a charity that follows it.
2|264|O you who believe, do not void And it is a dirt, so he wounded it and caught it, so it left it with a slander.
2|265|And the example of those who spend their money to seek the disease It becomes a thickness and a vulnerability.
2|266|One of you is that there is a paradise from it from the imagination and a grape that runs from it It is a hunger in which there is a fire, so you will be divided.
2|267|O you who believe, spend from the goodness In it ۚ and know that God is a praiseworthy rich
2|268|The Satan promises you poverty and commands you to obscene
2|269|Wisdom is given to whom he wills ۚ and whoever provides wisdom, he has given much good ۗ and what is mentioned except the first of the gaps
2|270|And what you have spent from an agreed or a vow from a vow, for God knows him ۗ and for those who are unjust from supporters
2|271|If you look at the righteousness, then they are blessed.
2|272|You are not guided by them, but God guides whoever wills You are not wronged
2|273|For the poor who are confined to the path of God, they do not stand up to the earth. A quail ۗ and what they are spent for good, for God is knowledgeable
2|274|Those who spend their money with the night and the day in a secret and a blasphemy, so they have their reward for their Lord, no fear of them, and they are not.
2|275|Those who eat usury are only as they are the one who is hidden by Satan from the touch. The Lord of the Lord ۚ So whoever comes to him is a preacher from his Lord, then he will be finished, so he has what was preceded and his command to God ^ And whoever returns, then the companions of the good
2|276|May God grant you the Lord and the Lord of the charity
2|277|Those who believed, do righteous deeds, and establish prayers, and the Zakat has gave them their reward for their Lord, and there is no fear for them
2|278|O you who believe, fear God and warn what remained of the Lord, if you are believers
2|279|If you do not do, then give permission to a war of God and His Messenger ۖ And if you die, then you have the heads of your money, and you will not be wronged
2|280|And if it is a hardship, then it is a look at a facilitator ۚ and if you believe the best for you 😂 If you know
2|281|Fear a day that you will return to God.
2|282|O you who believe, when you come to a debt to the time Let him write, and let him be blessed with the truth, and God will fear God, and do not underestimate anything from him.To be bored, let him be borne, and to him, and they will be martyred from your men. If one of them is misleading, then one of them is remembered, and the martyrs do not refuse. You are the best of GodAnd I do for the testimony and the minimum of which they will not be repeated. Come ۚ and no writers are not harmful, nor a martyr ۚ And if you do, then he is a market for you ۗ and fear God 😂 And he knows you and God
2|283|And if you are on a travel, and you did not find a vocal vineyard You are the testimony ۚ and whoever you have, for he is the sinner of his heart ۗ and God is what you do
2|284|God has what is in the heavens, and what is in the earth. There is nothing worthy
2|285|The Messenger believed in what was revealed to him from his Lord and the believers. We have obeyed us.
2|286|God does not cost a soul except for its expansion ۚ It has what you have earned, and it is not over. What I carried on those who were before us ۚ Our Lord, and do not carry what we have no energy for us.Mawlana, so we will support the disbelieving people
3|1|In the name of God, the Most Gracious, the Most Merciful
3|2|God is no god but He is the living neighborhood
3|3|The book has been revealed to you with truth, sincerely between his hands, and the descending and the Najil have descended
3|4|Before this guidance for people, and the two parties ۗ, for those who disbelieve in the verses of God have a severe torment.
3|5|God does not hide anything on the earth, nor in the sky
3|6|He is the one who depicts you in the merciful, how is he
3|7|He is the one who has been revealed by the book, and it is the mother of the book and the other Output the temptation and seek to be interpreted The first core
3|8|Our Lord does not dwarm our hearts after our guidance and gave us from our mercy as mercy.
3|9|Our Lord, you are the whole people for a day that there is no doubt in it ۚ God does not succeed
3|10|Those who disbelieve will not enrich them with their money, nor their children from God anything ۖ and those are the ones and the fire of the fire
3|11|The family of Pharaohs and those who were before them ۚ They lied to our revelations, so God took them with their sins ۗ and God is the hardship
3|12|Say to those who disbelieve, you will be overpowered and be crowded with hell ۚ and the misery
3|13|You have a verse in two categories of etiquette. Aa ۗ in that of this is a lesson for my first sight
3|14|Zain for people the love of desires from women and sons and the boundaries of the boundaries The world of this world and God has the goodness
3|15|Say: I will tell you goodly from that ۗ And God is insightful with worshipers
3|16|Those who say our Lord, we believe, so forgive us our sins and our torment
3|17|The patient, the honesty, the two, the hypocrisy, and the people who are forgiven.
3|18|God witnessed that there is no god but He and the angels, and the first knowledge is based
3|19|The religion is with God, Islam, and what those who have given the book have been disagreed with the book except for what the knowledge came to them. Sib
3|20|If you need you, say, I will give it to God So, but the rhetoric is to you, and God is insightful
3|21|For those who disbelieve in the revelations of God, kill the prophets, without the right, and kill those who command the righteousness of the people, and the people of the people, and the people of the people, and the people of the people.
3|22|Those who have seen their work in this world and the hereafter, and what they have supporters
3|23|Did you not see to those who have given a share of the book that they prayed to the Book of God to judge between them, then he will be a jurisprudence of them
3|24|That is that they said that the fire will not touch us except for numbers.
3|25|How when they gathered them for a day, there is no doubt in it, and every soul is fulfilled what you have earned, and they do not oppress
3|26|Say, O God, the king of the king, you will give the king to whom you want, and the king is removed from whomever
3|27|The night is entered into the day, the day will be entered into the night.
3|28|The believers do not take the disbelievers, the guardians of the believers, without the believers. Sah ۗ and to God the destiny
3|29|Say: If you hide what is in your chest, or seek it, God knows it ۗ and knows what is in the heavens and what is in the earth ۗ and God is the one
3|30|The day you find every soul that you have done from the best The servants
3|31|Say: If you love God, then follow me, God will love you and forgive you
3|32|Say, obey God and the Messenger.
3|33|God has chosen Adam, Noha, the family of Abraham, and the family of Amran on the two worlds
3|34|Offspring from each other, and Allah is Hearing, Knowing
3|35|When Amran said, Lord, I have warned you of what is in my stomach, and you will accept me from me.
3|36|When I put it on it, the Lord said that I put it on it, and God knows what I have been placed She is a desperate Satan
